Fase,Página,Left Eye X,Left Eye Y,Right Eye X,Right Eye Y,Pupil left eye,Pupil right eye,Timestamp device,Timestamp system,Evento,Duración (segundos)
inicio_pagina,1,,,,,,,,,,
grabando,1,0.3778243660926819,0.39427390694618225,0.37451672554016113,0.3984448313713074,2.410736083984375,2.303863525390625,594742383,381655172480,Evento 0,
grabando,1,0.3686661422252655,0.39095643162727356,0.37122058868408203,0.4054555296897888,2.3188018798828125,2.238433837890625,594759037,381655189134,Evento 0,
grabando,1,0.36630159616470337,0.37848523259162903,0.36720505356788635,0.38413429260253906,2.273406982421875,2.2167510986328125,594775692,381655205789,Evento 0,
grabando,1,0.36288490891456604,0.3634309470653534,0.36586612462997437,0.38625019788742065,2.3464202880859375,2.27203369140625,594792347,381655222444,Evento 0,
grabando,1,0.35937780141830444,0.36100149154663086,0.364594042301178,0.3845738470554352,2.335052490234375,2.2552642822265625,594809001,381655239097,Evento 0,
grabando,1,0.36491671204566956,0.3840298354625702,0.36473530530929565,0.3810500502586365,2.3399810791015625,2.1873779296875,594825656,381655255752,Evento 0,
grabando,1,0.36675065755844116,0.38656479120254517,nan,nan,2.3297119140625,nan,594842311,381655272407,Evento 0,
grabando,1,0.36547836661338806,0.3737540543079376,0.34285929799079895,0.3414352834224701,2.306640625,2.257843017578125,594858966,381655289062,Evento 0,
grabando,1,0.368862509727478,0.37839755415916443,0.35197633504867554,0.3615453839302063,2.30499267578125,2.20428466796875,594875620,381655305716,Evento 0,
grabando,1,0.3615277111530304,0.388767272233963,0.357581228017807,0.3764908015727997,2.291717529296875,2.2083892822265625,594892275,381655322371,Evento 0,
grabando,1,0.3573695719242096,0.3946189880371094,0.3581317067146301,0.3826160132884979,2.287445068359375,2.194427490234375,594908930,381655339026,Evento 0,
grabando,1,0.36286813020706177,0.4007897675037384,0.36146828532218933,0.3920738101005554,2.3104095458984375,2.1226959228515625,594925584,381655355680,Evento 0,
grabando,1,0.36368608474731445,0.4059867560863495,0.35581424832344055,0.4183788299560547,2.3023681640625,2.146514892578125,594942239,381655372335,Evento 0,
grabando,1,0.36165010929107666,0.3912484645843506,0.35612383484840393,0.3964391350746155,2.2811279296875,2.2022552490234375,594958894,381655388990,Evento 0,
grabando,1,0.361331582069397,0.38435816764831543,0.35915300250053406,0.37662816047668457,2.269500732421875,2.1708221435546875,594975548,381655405644,Evento 0,
grabando,1,0.3653128445148468,0.3872290551662445,0.3590860068798065,0.37813887000083923,2.2517547607421875,2.16357421875,594992203,381655422299,Evento 0,
grabando,1,0.36766132712364197,0.3878880441188812,0.3585505187511444,0.3770935833454132,2.262237548828125,2.1501617431640625,595008858,381655438954,Evento 0,
grabando,1,0.367325097322464,0.3799850046634674,0.35654646158218384,0.3833930492401123,2.2717437744140625,2.1473541259765625,595025512,381655455608,Evento 0,
grabando,1,0.36712411046028137,0.36897820234298706,0.35546591877937317,0.3980883061885834,2.2506103515625,2.166473388671875,595042167,381655472263,Evento 0,
grabando,1,0.3675324022769928,0.3869990408420563,0.35546430945396423,0.3991904854774475,2.242431640625,2.161834716796875,595058822,381655488918,Evento 0,
